RANKING,MOVIE,DISTRIBUTOR,RELEASE YEAR,GROSS (USD in millions),ADJUSTED GROSS (USD in Millions)
240,The Love Bug,Disney,1969,51.26,272.47
241,The Blind Side,Warner Bros.,2009,255.96,270.98
242,A Few Good Men,Columbia,1992,141.34,270.42
243,King Kong2005,Universal,2005,218.14,270.20
244,The Odd Couple,Paramount,1968,44.53,269.88
245,Mister Roberts,Warner Bros.,1955,18.00,269.66
246,The Shaggy Dog,Disney,1959,27.00,269.62
247,What Women Want2000,Paramount,2000,182.81,269.30
248,The Matrix,Warner Bros.,1999,171.48,269.08
249,The Perfect Storm,Warner Bros.,2000,182.62,269.02
250,Tarzan,Disney,1999,171.09,268.47
251,Sister Act,Disney,1992,139.61,267.10
252,Star Trek: The Motion Picture,Paramount,1979,82.26,264.43
253,The Da Vinci Code,Sony / Columbia,2006,217.54,263.70
254,All the President's Men,Warner Bros.,1976,70.60,263.18
255,El Cid,Allied Artists,1961,26.00,262.85
256,The Bourne Ultimatum,Universal,2007,227.47,262.52
257,The Amazing Spider-Man,Sony / Columbia,2012,262.03,261.37
258,Men in Black II,Sony / Columbia,2002,190.42,260.68
259,Sleeping Beauty,Disney,1959,51.60,260.29
260,"Honey,I Shrunk the Kids",Disney,1989,130.72,260.14
261,Apocalypse Now,United Artists,1979,83.47,259.88
262,Wedding Crashers,New Line,2005,209.22,259.16
263,Pocahontas,Disney,1995,141.58,258.42
264,Ocean's Eleven,Warner Bros.,2001,183.42,257.76
265,As Good as It Gets,Sony / TriStar,1997,148.48,256.85
266,Big Daddy,Sony / Columbia,1999,163.48,256.53
267,Alien,Fox,1979,80.93,256.39
268,Batman Begins,Warner Bros.,2005,206.85,255.86
269,Charlie and the Chocolate Factory,Warner Bros.,2005,206.46,255.74
270,The Hangover Part II,Warner Bros.,2011,254.46,254.79
271,Jurassic Park III,Universal,2001,181.17,254.60
272,Bullitt,Warner Bros.,1968,42.00,254.57
273,Teenage Mutant Ninja Turtles,New Line,1990,135.27,254.50
274,The Flintstones,Universal,1994,130.56,254.08
275,National Treasure: Book of Secrets,Disney,2007,219.96,253.85
276,Despicable Me,Universal,2010,251.51,253.11
277,Planet of the Apes2001,Fox,2001,180.01,252.97
278,Hancock,Sony / Columbia,2008,227.95,252.07
279,Alvin and the Chipmunks,Fox,2007,217.33,250.81
280,Midnight Cowboy,United Artists,1969,44.79,250.42
